"batch","amino_acid","sample","ratio","condition","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration","final_concentration_uM","concentration_sample_mM","keep_manual_inspection","mean_concentration_mM","substraction","interval","mean_auc","CORE_value"
1,"Gly","15",3.57,3.62,0.05,71.5,258.6852,"TM",1000,24,1,230.1234,1.12411514865503,0.25,250,NA,NA,281.028787163757,281.028787163757,0.2586852,"y",0.2301234,4.28427e-05,30,10336548.2777019,4.14477820341832e-12
1,"Gly","16",3.06,3.62,0.05,61.2,221.4716,"T",0,16,1,230.1234,0.962403649520214,0.25,250,NA,NA,240.600912380054,240.600912380054,0.2214716,"y",0.2301234,-1.29777e-05,22,6085415.94208765,-2.1325904627561e-12
1,"Gly","17",3.38,3.62,0.05,67.6,244.6396,"T",100,16,1,230.1234,1.06308006921504,0.25,250,NA,NA,265.77001730376,265.77001730376,0.2446396,"y",0.2301234,2.17743e-05,22,6085415.94208765,3.57811203165353e-12
1,"Gly","18",3.52,3.62,0.05,70.4,254.9928,"T",1000,16,1,230.1234,1.10806984426616,0.25,250,NA,NA,277.017461066541,277.017461066541,0.2549928,"y",0.2301234,3.73040999999999e-05,22,6085415.94208765,6.13008220884281e-12
1,"Gly","19",3.21,3.62,0.05,64.3,232.6212,"T",0,18,1,230.1234,1.01085417649835,0.25,250,NA,NA,252.713544124587,252.713544124587,0.2326212,"y",0.2301234,3.74669999999999e-06,24,7005915.22298741,5.34790941761118e-13
1,"Gly","20",3.56,3.62,0.05,71.2,257.6716,"T",100,18,1,230.1234,1.11971055529338,0.25,250,NA,NA,279.927638823344,279.927638823344,0.2576716,"y",0.2301234,4.13223e-05,24,7005915.22298741,5.89820154609003e-12
1,"Gly","21",3.39,3.62,0.05,67.7,245.074,"T",1000,18,1,230.1234,1.06496775208432,0.25,250,NA,NA,266.241938021079,266.241938021079,0.245074,"y",0.2301234,2.24259e-05,24,7005915.22298741,3.20099505720786e-12
1,"Gly","22",2.87,3.62,0.05,57.5,208.0052,"T",0,20,1,230.1234,0.903885480572597,0.25,250,NA,NA,225.971370143149,225.971370143149,0.2080052,"y",0.2301234,-3.31773e-05,26,8015331.07929134,-4.13923014181135e-12
1,"Gly","23",3.11,3.62,0.05,62.3,225.3812,"T",100,20,1,230.1234,0.979392795343716,0.25,250,NA,NA,244.848198835929,244.848198835929,0.2253812,"y",0.2301234,-7.1133e-06,26,8015331.07929134,-8.87461781632221e-13
1,"Gly","24",3.62,3.62,0.05,72.5,262.3052,"T",1000,20,1,230.1234,1.13984583923234,0.25,250,NA,NA,284.961459808086,284.961459808086,0.2623052,"y",0.2301234,4.82727e-05,26,8015331.07929134,6.02254598374843e-12
1,"Gly","25",2.78,3.62,0.05,55.6,201.3444,"T",0,22,1,230.1234,0.874941009910335,0.25,250,NA,NA,218.735252477584,218.735252477584,0.2013444,"y",0.2301234,-4.31685e-05,28,9122357.54912758,-4.73216487816008e-12
1,"Gly","26",3.08,3.62,0.05,61.7,223.2816,"T",100,22,1,230.1234,0.970268994808872,0.25,250,NA,NA,242.567248702218,242.567248702218,0.2232816,"y",0.2301234,-1.02627e-05,28,9122357.54912758,-1.12500523518523e-12
1,"Gly","27",3.77,3.62,0.05,75.5,273.1652,"T",1000,22,1,230.1234,1.18703791096429,0.25,250,NA,NA,296.759477741073,296.759477741073,0.2731652,"y",0.2301234,6.45627000000001e-05,28,9122357.54912758,7.07741388695892e-12
1,"Gly","28",3.41,3.62,0.05,68.1,246.6668,"T",0,24,1,230.1234,1.07188925593834,0.25,250,NA,NA,267.972313984584,267.972313984584,0.2466668,"y",0.2301234,2.48151e-05,30,10336548.2777019,2.4007143713082e-12
1,"Gly","29",3.31,3.62,0.05,66.1,239.4268,"T",100,24,1,230.1234,1.0404278747837,0.25,250,NA,NA,260.106968695926,260.106968695926,0.2394268,"y",0.2301234,1.39551e-05,30,10336548.2777019,1.35007350859126e-12
1,"Gly","30",3.14,3.62,0.05,62.8,227.336,"T",1000,24,1,230.1234,0.987887368255466,0.25,250,NA,NA,246.971842063867,246.971842063867,0.227336,"y",0.2301234,-4.18109999999999e-06,30,10336548.2777019,-4.0449673214602e-13
1,"Ile","1",3.72,4.33,0.05,74.5,322.4118,"TM",0,16,1,351.0331,0.918465523621562,0.41580153,415.80153,NA,NA,381.899369974096,381.899369974096,0.3224118,"y",0.3510331,-4.29319499999999e-05,22,6085415.94208765,-7.05489163083761e-12
1,"Ile","2",3.86,4.33,0.05,77.2,334.1028,"TM",100,16,1,351.0331,0.951770075243617,0.41580153,415.80153,NA,NA,395.747453494511,395.747453494511,0.3341028,"y",0.3510331,-2.539545e-05,22,6085415.94208765,-4.17316585122165e-12
1,"Ile","3",3.68,4.33,0.05,73.5,318.3416,"TM",1000,16,1,351.0331,0.906870605649439,0.41580153,415.80153,NA,NA,377.078185341063,377.078185341063,0.3183416,"y",0.3510331,-4.903725e-05,22,6085415.94208765,-8.0581591244817e-12
1,"Ile","4",3.82,4.33,0.05,76.3,330.379,"TM",0,18,1,351.0331,0.941161958801036,0.41580153,415.80153,NA,NA,391.336582447268,391.336582447268,0.330379,"y",0.3510331,-3.09811499999999e-05,24,7005915.22298741,-4.42214172080563e-12
1,"Ile","5",3.71,4.33,0.05,74.3,321.5458,"TM",100,18,1,351.0331,0.915998519797706,0.41580153,415.80153,NA,NA,380.873586009621,380.873586009621,0.3215458,"y",0.3510331,-4.423095e-05,24,7005915.22298741,-6.31337214228227e-12
1,"Ile","6",3.84,4.33,0.05,76.7,332.2842,"TM",1000,18,1,351.0331,0.946589367213519,0.41580153,415.80153,NA,NA,393.593307169113,393.593307169113,0.3322842,"y",0.3510331,-2.812335e-05,24,7005915.22298741,-4.01422927695775e-12
